KO_code	Compound_codes
K00053	C04039,C04181,C04181,C04272,C04181,C14463,C14463,C06007,C14463,C14463,C14463,C14463,C14463,C04181,C04181,C04181,C04181
K07150	
K00688	C00718,C00103,C00103,C00718,C00103,C00718
K08384	
K03438	
K03536	
K03537	
K02387	
K00681	C00025,C01419,C01419,C03740,C01419,C05844,C05951,C05951,C00025,C05729,C05711,C06114
K00680	C05596,C00024,C00512,C00512,C00024,C00512,C00527,C00527,C11949,C03974,C01144,C01144
K02825	C00106,C00105
K00839	
K02823	
K02822	C16186,C16186,C16186
K11189	
K02519	
K03315	
K03217	
K03216	
K03215	
K03742	
K03705	
K03660	
K03218	
K03666	
K14652	C01304,C01304,C15556,C15556
K03664	
K03665	
K09772	
K09773	
K02348	
K06158	
K02221	
K03310	
K05837	
K09775	
K02342	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K04043	
K02340	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02341	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02346	
K04074	
K02379	
K06897	
K01808	C00199,C00199,C00199,C00199,C00199,C00199,C00199,C18096,C18096
K03696	
K03695	
K00537	
K01958	C00036,C00036,C00036,C00022,C00036,C00036,C00036
K01734	C00546
K07038	
K00615	C00231,C00279,C00279,C00231,C00279,C00279,C00231,C00117,C00231,C00117,C00118,C05382,C00117,C00231,C00117,C00117,C00231,C00231,C00117,C00117,C00231,C00279,C00231,C00279,C00231,C00231,C00279,C00231,C00279,C00231,C00279,C00279,C00231,C12215,C12215
K01803	C00111,C00111,C00118,C00111,C00118,C00111,C00111,C00111,C00111
K00928	C03082,C03082,C03082,C03082,C03082,C03082,C03082,C03082
K01805	C00095,C00095,C00310,C00310
K03699	
K00128	C00026,C00026,C00071,C00071,C00033,C00033,C00033,C00033,C00033,C00099,C00258,C00334,C00334,C00334,C00954,C00954,C00804,C00818,C00818,C01181,C02170,C02835,C05635,C05635,C02946,C02946,C06614,C06613,C06614,C06615,C16348,C06615,C06755,C06754,C06755,C11924,C11924
K03324	
K05832	
K03284	
K07052	
K05515	
K03060	C00046,C00046,C00046,C00044,C00046,C00046,C00046,C00046
K03706	
K05340	
K05833	
K11175	C04376,C00101,C00234,C04376,C04376,C00101,C00445
K01751	
K02503	
K03106	
K03101	
K03100	
K02919	
K04759	
K06162	C20423
K02913	
K02911	
K06378	
K02916	
K02914	
K04757	
K01239	C00147,C00147,C00153,C00242,C00262,C00385
K09685	
K16787	
K16786	
K16785	
K15583	
K01232	C00092,C00092,C00092
K03496	
K01893	C03402
K00013	C00135,C00135,C00135,C00135,C01929,C01929,C01929
K00548	C00073,C00101,C00073,C00073,C00073,C05335
K02996	
K02768	C01094,C01094
K02769	C01094,C01094
K09703	
K02687	
K01142	
K02760	
K02761	
K02994	
K07738	
K00948	C00119,C00119,C00117,C00119,C00119,C00119,C00119
K00949	C03028,C03028,C00068,C00378
K00821	C00437,C00437,C01250,C00437,C00437,C04462,C04421,C04462,C04421
K00820	C00352,C00352,C00352
K00823	C00222,C00222,C00099,C00232,C00232,C00334
K00942	C00035,C00035,C00361,C00362
K00943	C00363,C00363,C01346,C00365
K00941	C04556,C04556,C04752,C04752
K00945	C00015,C00105,C00112,C00055,C00705,C00239
K06333	
K01620	C00037,C00188,C00037,C00037,C00037,C05519,C00037
K01091	C00160,C00160,C00160
K01090	
K06889	
K06888	
K11749	
K08884	
K10947	
K03979	
K03740	
K00797	C00170,C00315,C00315,C01137,C00134,C00170,C00750,C00315,C00750,C00750,C16565
K09697	
K01524	C01228
K01488	C00294,C00294,C05512,C05512
K01489	C00299,C00299,C00526,C12739
K02968	
K01520	C00365,C00365
K11063	
K02967	
K06976	
K01487	C00385,C00242
K01480	C00134,C00134
K02963	
K02961	
K01664	C11355
K01665	C11355
K10441	
K03569	
K03568	
K01662	C11437,C11437,C00118,C00022,C11437
K03565	
K03564	
K03563	
K00762	C00119,C00295,C01103
K00763	C00253,C00253
K01464	C02642,C02642,C02642,C02642,C05100,C05100,C16631
K01465	C00438,C00438
K01462	
K01463	
K00764	C03090,C03090,C00119,C00119
K00765	C00119,C02739,C00119,C02739
K02227	C06509,C06509,C06508,C06508
