KO_code	Compound_codes
K13788	C00024,C00024,C00024,C00227,C00024,C00024,C00024,C00024,C00100,C02876
K03658	
K00573	
K09970	
K01305	
K04775	
K01119	C02353,C02355,C02354,C06194
K04770	
K00975	C00103,C00103,C00498,C00103
K11749	
K01112	C00006,C03267
K11747	
K11744	
K00901	C00641,C00641,C00641,C00641
K02654	
K11743	
K12143	
K11741	
K07273	
K00879	C01721
K07275	
K07274	
K13926	
K11076	
K13636	
K13637	
K13631	
K00874	C00204,C04442,C00204,C00204
K09888	
K02039	
K06200	
K06207	
K06206	
K06205	
K02950	
K03412	
K02444	
K04844	
K02688	
K02356	
K12137	
K05366	
K01579	C00049,C00049,C00049,C00049
K05778	
K00880	C00312,C00618,C00618
K11733	
K05777	
K05775	
K03469	
K12139	
K11734	
K01754	C00065,C00022,C00065,C00065,C00065,C00188,C00188,C00188,C00188,C00188
K16324	
K08227	
K12678	
K16321	
K01752	C00065,C00022,C00065,C00065,C00065,C00065
K16322	
K03675	
K10540	
K16329	C00106
K16328	C02067
K09934	
K00759	C00020,C00147,C00242,C00242,C04677
K01595	C00074,C00074,C00011,C00074,C00011,C00074,C00036,C00074,C00011,C00036,C00036,C00074
K02753	C01451,C06186
K07085	
K02431	
K07088	
K00757	C00299,C00299,C07649
K01599	C01051,C01051,C01051,C05766
K08173	
K08172	
K07479	
K07708	
K02484	
K00024	C00149,C00149,C00149,C00036,C00036,C00036,C00149,C00149,C00149,C00149
K02358	
K02858	C00199,C00199
K07471	
K06149	
K07056	
K04568	C00047
K07643	
K02100	
K09817	
K09816	
K07677	
K01058	C00157,C00157,C00219,C00219,C00350,C00350,C02737,C00157,C01595,C04756,C04635,C05212,C04317,C00157,C06427,C00157,C06427
K11911	
K09811	
K03723	
K02500	C04916,C04916,C04916,C04916
K07496	
K02504	
K02505	
K00800	C03175,C01269,C03175,C03175
K03449	
K03446	
K02509	C03063,C03063,C05600
K03445	
K10763	
K02458	
K01414	
K01755	C03406,C03406,C03406,C03406,C03406
K01627	C01112,C04478
K15034	
K01629	C06441,C01131
K01937	C00075,C00075,C00075,C00075
K11203	
K11201	
K00058	C00197,C00197,C00197,C00197,C00197,C00197
K00962	C00046,C00046,C00046,C00046
K12944	
K00057	C00093,C00093
K16326	
K12943	
K00358	
K03316	
K02436	
K13381	C00461,C00461
K07156	
K08156	
K03925	
K03924	
K03431	C00352,C06156
K07012	
K10440	
K02822	C00072,C00072,C00072
K02821	C00072,C00072,C00072
K03212	
K03747	
K03746	
K03217	
K03216	
K04079	
K12264	
K03667	
K13896	
K03665	
K03474	C11638,C11437,C11638
K05835	
K03310	
K09774	
K01434	C00395,C00395
K00094	C06311,C06311
K02343	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K02340	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K02381	
K06157	
K07751	C01419,C01419,C05729
K02344	C00131,C00039,C00286,C00286,C00458,C00458,C00459,C00459
K07238	
K01808	C00117,C00117,C00117,C00117,C00117,C00117,C00117,C02962,C02962
K03695	
K07676	
K00537	
K16868	
K15539	
K09477	
K01803	C00118,C00118,C00111,C00118,C00111,C00118,C00118,C00118,C00118
K01804	C00259,C00259
K09470	C00134,C00025,C00134
K09473	C15767,C00334
K09812	
K03327	
K03326	
K03324	
K07701	
K03322	
K07703	
K12291	
K03284	
K00121	C00226,C00469,C00469,C00469,C00469,C00473,C00473,C05576,C05577,C06611,C06613,C06611,C06612,C16348,C06612,C14089,C14089,C14089,C02909,C02909,C02909,C14180,C14180,C06899,C07645,C16586,C16595
K13243	
K05515	
K07709	
K03281	
K11895	
K02452	
K01246	
K08993	
K00882	C01094
K00892	C00294,C00144
K02389	
K01241	C00020
K14260	C00041,C00022,C00022,C00041,C00026,C00026,C00041,C00141,C00141,C00183
K14261	
K10011	C00167,C00167,C16153,C16153
K02380	
K01845	C03741,C00430,C00430
K07170	
K07491	
K16704	
K03100	
K07404	C01236,C01236,C01236,C01236,C01236
K09806	
K02453	
K03836	
K05880	
K00852	C00121,C01801
K02992	
K03495	
K04773	
K07574	
K17713	
K15585	
K17247	
K15587	
K15580	
